Protocol,Packet_Size_Bytes,Connection_Duration_ms,Failed_Logins,Geo_Distance_km,Is_Malicious
TCP,805,59,0,1169,0
TCP,926,58,0,379,0
TCP,974,3,0,79,0
ICMP,6121,16,0,1044,1
TCP,119,64,1,788,0
TCP,109,100,0,107,0
ICMP,12,14,0,262,0
TCP,499,48,0,1181,0
UDP,6920,27,3,731,1
TCP,195,63,0,91,0
TCP,6229,94,0,5424,1
TCP,1470,62,0,1555,0
TCP,358,23,0,527,0
TCP,784,29,0,190,0
UDP,257,10,0,159,0
TCP,391,53,0,1261,0
TCP,2625,172,0,993,0
TCP,490,41,0,881,0
TCP,290,41,0,1356,0
TCP,264,17,0,48,0
TCP,248,170,0,307,0
TCP,312,28,0,79,0
UDP,182,295,0,1654,0
ICMP,79,68,0,50,0
TCP,338,123,0,131,0
TCP,727,187,0,242,0
ICMP,245,18,0,131,0
TCP,1910,425,0,111,0
TCP,541,210,0,526,0
TCP,192,481,0,281,0
TCP,180,6,0,500,0
TCP,436,120,0,1096,0
TCP,88,61,0,557,0
UDP,252,94,0,1124,0
UDP,17,123,0,59,0
TCP,1885,103,0,216,0
TCP,912,15,0,78,0
TCP,1508,49,0,174,0
ICMP,18,94,0,204,0
TCP,1777,47,0,1108,0
TCP,1300,25,7,4045,1
UDP,653,118,0,653,0
ICMP,247,2,0,629,0
TCP,172,192,0,11,0
UDP,277,43,0,201,0
TCP,5128,39,7,7109,1
UDP,987,14,0,47,0
TCP,736,20,0,987,0
UDP,83,19,0,329,0
ICMP,135,106,1,385,0
TCP,664,76,0,208,0
TCP,117,26,0,210,0
TCP,66,227,0,1564,0
TCP,35,28,0,1301,0
TCP,1204,12,0,375,0
UDP,414,64,0,18,0
TCP,180,92,0,392,0
TCP,2,5,0,201,0
TCP,376,48,0,345,0
UDP,829,182,0,129,0
TCP,232,18,0,491,0
TCP,3392,203,0,21,0
TCP,231,25,0,375,0
TCP,1212,60,0,206,0
TCP,0,200,1,81,0
TCP,548,175,0,1354,0
UDP,970,198,0,6,0
ICMP,300,194,0,200,0
ICMP,2,91,0,92,0
TCP,393,1,0,156,0
ICMP,353,104,0,228,0
TCP,176,98,1,31,0
TCP,996,216,0,610,0
TCP,324,87,0,28,0
ICMP,810,66,0,223,0
TCP,76,104,0,697,0
